"Rt. insular gyrus (dIg, dorsal granular)"
"Lt. insular gyrus (dId, dorsal dysgranular)"
"Rt. insular gyrus (dId, dorsal dysgranular)"
"Lt. cingulate gyrus (BA23, dorsal)"
"Rt. cingulate gyrus (BA23, dorsal)"
"Lt. cingulate gyrus (BA24, rostroventral)"
"Rt. cingulate gyrus (BA24, rostroventral)"
"Lt. cingulate gyrus (BA32, pregenual)"
"Rt. cingulate gyrus (BA32, pregenual)"
"Lt. cingulate gyrus (BA23, ventral)"
"Rt. cingulate gyrus (BA23, ventral)"
"Lt. cingulate gyrus (BA24, caudodorsal)"
"Rt. cingulate gyrus (BA24, caudodorsal)"
"Lt. cingulate gyrus (BA23, caudal)"
"Rt. cingulate gyrus (BA23, caudal)"
"Lt. cingulate gyrus (BA32, subgenual)"
"Rt. cingulate gyrus (BA32, subgenual)"
"Lt. medioventral occipital cortex (cLinG, caudal lingual gyrus)"
"Rt. medioventral occipital cortex (cLinG, caudal lingual gyrus)"
"Lt. medioventral occipital cortex (rCunG, rostral cuneus gyrus)"
"Rt. medioventral occipital cortex (rCunG, rostral cuneus gyrus)"
"Lt. medioventral occipital cortex (cCunG, caudal cuneus gyrus)"
"Rt. medioventral occipital cortex (cCunG, caudal cuneus gyrus)"
"Lt. medioventral occipital cortex (rLinG, rostral lingual gyrus)"
"Rt. medioventral occipital cortex (rLinG, rostral lingual gyrus)"
"Lt. medioventral occipital cortex (vmPOS, ventromedial parietooccipital gyrus)"
"Rt. medioventral occipital cortex (vmPOS, ventromedial parietooccipital gyrus)"
"Lt. lateral occipital cortex (mOccG, middle occipital gyrus)"
"Rt. lateral occipital cortex (mOccG, middle occipital gyrus)"
Lt. lateral occipital cortex (area V5/MT+)
Rt. lateral occipital cortex (area V5/MT+)
"Lt. lateral occipital cortex (OPC, occipital polar cortex)"
"Rt. lateral occipital cortex (OPC, occipital polar cortex)"
"Lt. lateral occipital cortex (iOccG, inferior occipital gyrus)"
"Rt. lateral occipital cortex (iOccG, inferior occipital gyrus)"
"Lt. lateral occipital cortex (msOccG, medial superior occipital gyrus)"
"Rt. lateral occipital cortex (msOccG, medial superior occipital gyrus)"
"Lt. lateral occipital cortex (lsOccG, lateral superior occipital gyrus)"
"Rt. lateral occipital cortex (lsOccG, lateral superior occipital gyrus)"
